Date,Open,High,Low,Close,Adj Close,Volume
01/03/21,2056.52002,2086.52002,2046.099976,2081.51001,2081.51001,1404500
02/03/21,2076.189941,2104.370117,2071.26001,2075.840088,2075.840088,1133600
03/03/21,2067.209961,2088.518066,2010,2026.709961,2026.709961,1483100
04/03/21,2023.369995,2089.23999,2020.27002,2049.090088,2049.090088,2116100
05/03/21,2073.120117,2118.110107,2046.415039,2108.540039,2108.540039,2193800
08/03/21,2101.129883,2128.810059,2021.609985,2024.170044,2024.170044,1646000
09/03/21,2070,2078.040039,2047.829956,2052.699951,2052.699951,1696400
10/03/21,2071.76001,2075,2033.369995,2055.030029,2055.030029,1267800
11/03/21,2074.060059,2125.699951,2072.379883,2114.77002,2114.77002,1238300
12/03/21,2085,2090.26001,2047.550049,2061.919922,2061.919922,1725000
